CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI03508-2019;FACULDADE DE CIENCIAS SOCIAIS;Capacidades estatais para a implementação de empreendimentos de infraestrutura: um estudo dos setores de transporte e energia;Ciências Humanas - Ciência Política - Políticas Públicas - Análise do Processo Decisório;Tipo de vínculo desconhecido;sim;ALEXANDRE DE ÁVILA GOMIDE (EXTERNO - Colaborador), ANA KARINE PEREIRA (DOCENTE - Coordenador);03/04/2019 a 31/12/2020
PI03355-2019;UAE REJ CIÊNCIAS HUMANAS E LETRAS;Literatura e historicidade: crítica à modernidade historicista e emergência de temporalidades pós-utópicas em romances distópicos contemporâneos  ;Ciências Humanas - História - Teoria e Filosofia da História;Tipo de vínculo desconhecido;sim;ANA LORYM SOARES (DOCENTE - Coordenador), CARLOS HENRIQUE DA SILVA (DISCENTE - Colaborador), CÁSSIO TEIXEIRA DE LIMA (DISCENTE - Colaborador), EDUARDO HENRIQUE B. VASCONCELOS (EXTERNO - Colaborador), IGOR DA SILVA ROVIRO (DISCENTE - Colaborador), NATÁLIA ALVES DE ALMEIDA (DISCENTE - Colaborador), RUBEN MACIEL FRANKLIN (EXTERNO - Colaborador);01/02/2019 a 31/12/2021
PI03418-2019;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Avaliação do papel de vesículas extracelulares derivadas de células B-1 na resposta imune de doenças pulmonares granulomatosas crônicas;Ciências Biológicas - Imunologia - Imunologia Celular, Ciências Biológicas - Microbiologia;Tipo de vínculo desconhecido;sim;ANA PAULA JUNQUEIRA KIPNIS (DOCENTE - Coordenador), ANDRE KIPNIS (DOCENTE - Colaborador), CAMILA OLIVEIRA BARBOSA DE MORAIS (DISCENTE - Colaborador), DANILO PIRES DE RESENDE (DISCENTE - Colaborador), LILIA CRISTINA DE SOUZA BARBOSA (SERVIDOR - Colaborador), NEILA TEIXEIRA LIMA (DISCENTE - Colaborador), PATRICIA XANDER BATISTA (EXTERNO - Vice-coodernador);22/03/2019 a 30/12/2022
PI03525-2019;HOSPITAL DAS CLINICAS;Efeito da Dieta Cardioprotetora Brasileira e nozes sobre parâmetros cardiometabólicos no pós-infarto agudo do miocárdio: um ensaio clínico randomizado (estudo DICA-NUTS);Ciências da Saúde - Nutrição - Análise Nutricional de População;Tipo de vínculo desconhecido;sim;ANA PAULA PERILLO FERREIRA CARVALHO (SERVIDOR - Coordenador), CAMILA MOURA BATISTA (SERVIDOR - Colaborador), INAIANA MARQUES FILIZOLA VAZ (SERVIDOR - Colaborador), MARIA IZABEL DE SOUZA TABOADA (EXTERNO - Colaborador), RENATA COSTA FERNANDES (EXTERNO - Colaborador);01/01/2019 a 31/12/2021
PI03550-2019;HOSPITAL DAS CLINICAS;Efetividade de uma estratégia NUtricional para controle PRESSórico em pacientes com  hipertensão arterial sistêmica usuários do Sistema Único de Saúde (SUS): estudo NUPRESS.;Ciências da Saúde - Nutrição - Dietética, Ciências da Saúde - Nutrição - Análise Nutricional de População;Tipo de vínculo desconhecido;sim;ANA PAULA PERILLO FERREIRA CARVALHO (SERVIDOR - Coordenador), CAMILA MOURA BATISTA (SERVIDOR - Colaborador), INAIANA MARQUES FILIZOLA VAZ (SERVIDOR - Colaborador), RENATA COSTA FERNANDES (EXTERNO - Colaborador);01/01/2019 a 31/12/2021
PI03499-2019;INSTITUTO DE INFORMATICA;Arquiteturas de Deep Learning para Recomendação de Refeições e Otimização de Demanda em Delivery;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação;Tipo de vínculo desconhecido;sim;ANDERSON DA SILVA SOARES (DOCENTE - Coordenador), MÁRLESSON RODRIGUES OLIVEIRA DE SANTANA (DISCENTE - Colaborador);01/05/2019 a 31/10/2020
PI03544-2019;FACULDADE DE FILOSOFIA; A distinção entre Doxa e Epistêmê em Platão  ;Ciências Humanas - Filosofia - História da Filosofia;Tipo de vínculo desconhecido;sim;ANDERSON DE PAULA BORGES (DOCENTE - Coordenador);01/01/2019 a 31/03/2022
PI03492-2019;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Identificação de alvos moleculares de protótipos antifúngicos: Docking molecular, atividade enzimática e quimioproteômica;Ciências Biológicas - Microbiologia - Microbiologia Aplicada - Microbiologia Médica;Tipo de vínculo desconhecido;sim;ANDRESSA SANTANA SANTOS (DISCENTE - Colaborador), BENEDITO RODRIGUES DA SILVA NETO (DOCENTE - Coordenador), BRUNA OLIVEIRA ANDRADE (DISCENTE - Colaborador), CAROLINA RODRIGUES COSTA (DOCENTE - Colaborador), HILDENE MENESES E SILVA (SERVIDOR - Colaborador), JOSE REALINO DE PAULA (DOCENTE - Colaborador), LARISSA CRYSTHINE AGUIAR BRASIL (DISCENTE - Colaborador), MARCELO HENRIQUE SOLLER RAMADA (EXTERNO - Colaborador), MARIA DO ROSARIO RODRIGUES SILVA (DOCENTE - Colaborador), MATHEUS FERREIRA GONÇALVES (DISCENTE - Colaborador), MAYSA PAULA DA COSTA REIS (SERVIDOR - Colaborador), VIVIANNY APARECIDA QUEIROZ FREITAS (DISCENTE - Colaborador), WALTER FILGUEIRA DE AZEVEDO JUNIOR (EXTERNO - Colaborador);01/04/2019 a 31/12/2021
PI03208-2019;FACULDADE DE ARTES VISUAIS;Conectividade: perspectivas de um tempo;Lingüística, Letras e Artes - Artes - Artes do Vídeo;Com Programa de Pós-graduação da UFG;sim;CLEOMAR DE SOUSA ROCHA (DOCENTE - Coordenador);01/03/2019 a 28/02/2022
PI03262-2019;FACULDADE DE ARTES VISUAIS;Inovações pedagógicas para o desenvolvimento de competências de servidores da administração pública brasileira: plataforma VIAS;Lingüística, Letras e Artes - Artes - Artes do Vídeo;Com Programa de Pós-graduação da UFG;sim;CLEOMAR DE SOUSA ROCHA (DOCENTE - Coordenador), ELOA AUGUSTA RIBEIRO (EXTERNO - Colaborador), KATARINY LABORÉ BARBOSA DA LUZ (SERVIDOR - Colaborador), ROBSON FERNANDES ATHANASIO DE AGUIAR (SERVIDOR - Colaborador), VINNICIUS DE OLIVEIRA CAMPAGNUCI (EXTERNO - Colaborador);01/01/2019 a 30/12/2022
