CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PASSA POR COMITÊ;PARTICIPAÇÃO;STATUS;DATA DE CADASTRO;PERÍODO DE VIGÊNCIA;
PI03428-2019;INSTITUTO DE CIENCIAS BIOLOGICAS;A inserção de tecnologias em ambientes escolares: políticas educacionais, contextos formativos e práticas pedagógicas  ;Ciências Humanas - Educação - Ensino-Aprendizagem - Tecnologia Educacional;Tipo de vínculo desconhecido;não;não;ADDA DANIELA LIMA FIGUEIREDO ECHALAR (DOCENTE - Coordenador), ANA LUISA NEVES OTTO (DISCENTE - Colaborador), ELISA VAZ BORGES SILVA (DISCENTE - Colaborador), JHONNY DAVID ECHALAR (DOCENTE - Colaborador), JOANA PEIXOTO (EXTERNO - Colaborador), JONATAS TEIXEIRA MACHADO (DISCENTE - Colaborador), LEANDRO VASCONCELOS BAPTISTA (DISCENTE - Colaborador), MARCOS ANTONIO ALVES FILHO (DISCENTE - Colaborador), RAFAELLA CASTRO VIEIRA (DISCENTE - Colaborador), REGIANE MACHADO DE SOUSA PINHEIRO (DOCENTE - Colaborador), RONES DE DEUS PARANHOS (DOCENTE - Colaborador), ROSE MARY ALMAS DE CARVALHO (EXTERNO - Colaborador), SIMONE SENDIN MOREIRA GUIMARAES (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);27/03/2019;01/04/2019 a 30/08/2029;
PI03463-2019;FACULDADE DE DIREITO;Epistemologias feministas aplicadas ao direito: construindo parâmetros teóricos e metodológicos para garantia do direito das mulheres a partir da atuação das assessorias jurídicas feministas atuantes no Brasil.;Ciências Sociais Aplicadas - Direito - Direitos Especiais;Tipo de vínculo desconhecido;não;não;ADRIANA ANDRADE MIRANDA (DOCENTE - Coordenador), SILVANA BELINE TAVARES (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/03/2019;01/08/2019 a 30/07/2021;
PI03669-2019;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;Percepção e enfrentamento dos pacientes submetidos a biópsia: a espera e a confirmação do diagnóstico de câncer de boca;Ciências Humanas - Psicologia;Tipo de vínculo desconhecido;não;sim;ADRIANA ASSIS CARVALHO (DOCENTE - Coordenador), ALINE EMIDIO FIRMIANO (DISCENTE - Colaborador), AMANDA SOARES BELTRÃO (DISCENTE - Colaborador), ANA NOGUEIRA AMBROSIO (DISCENTE - Colaborador), ANA TERCIA ROSA ALVES (DISCENTE - Colaborador), BENILDE SILVA PORTUGUEZ (DISCENTE - Colaborador), CRISTIANE OLIVEIRA DA SILVA (DISCENTE - Colaborador), FERNANDA GONCALVES DA SILVA (DISCENTE - Colaborador), JEFFERSON RODRIGUES ROCHA (DISCENTE - Colaborador), KAROLAYNNE CRISTINA GONDIM DE ANDRADE (DISCENTE - Colaborador), LAURA LORRANNE SILVA (DISCENTE - Colaborador), LUCIANA OLIVEIRA DOS SANTOS (DOCENTE - Colaborador), MIKELLY NEVES SILVA (DISCENTE - Colaborador), POLYANNE REZENDE LIMA (DISCENTE - Colaborador), RUTH SALES DE ASSIS (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);10/04/2019;15/04/2019 a 23/12/2022;
PI03670-2019;FACULDADE DE HISTORIA;Concepções e representações da Natureza nas sociedades medievais;Ciências Humanas - História - História Antiga e Medieval;Tipo de vínculo desconhecido;não;não;ADRIANA VIDOTTE (DOCENTE - Coordenador), CAIO VICTOR CHAVES DA SILVA (DISCENTE - Colaborador), LORENA DA SILVA VARGAS (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);10/04/2019;01/04/2019 a 01/04/2021;
PI03599-2019;INSTITUTO DE QUIMICA;Um estudo sobre a relação entre os motivos e a aprendizagem de Ciências da Natureza na perspectiva da Teoria Histórico-Cultural: focalizando a Radiação Ionizante;Ciências Humanas - Educação - Ensino-Aprendizagem - Métodos e Técnicas de Ensino;Tipo de vínculo desconhecido;não;não;AGUSTINA ROSA ECHEVERRIA (DOCENTE - Coordenador), ALESSANDRO COSTA DA SILVA (DISCENTE - Colaborador), ANA LAURA VIANA DA SILVA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);06/04/2019;01/03/2019 a 31/12/2023;
PI03153-2019;UNID. ACAD. ESP/QUIMICA - CATALAO;DESENVOLVIMENTO DE EXPERIMENTOS DE QUÍMICA QUE AUXILIEM NO APRENDIZADO DE QUÍMICA NO ENSINO MÉDIO;Ciências Exatas e da Terra - Química - Química Inorgânica - Campos de Coordenação, Outras - Ensino de Ciências e Matemática;Sem Vínculo (Projeto Isolado);não;não;ALBERTHMEIRY TEIXEIRA DE FIGUEREDO (DOCENTE - Coordenador), AMANDA DAS GRACAS BARBOSA (DISCENTE - Colaborador), ANA CAROLINA BOACINA DE FREITAS (DISCENTE - Colaborador), CRISTIANO MORITA BARRADO (DOCENTE - Vice-coodernador), ELIZAEL DE JESUS GONÇALVES (DISCENTE - Colaborador), GEIZA PEREIRA DE ASSUNÇÃO (DISCENTE - Colaborador), LEONARDO SANTOS ANDRADE (DOCENTE - Colaborador), LINCOLN LUCILIO ROMUALDO (DOCENTE - Colaborador), MAYLURA MORAIS CALDAS (DISCENTE - Colaborador), SANDRA DE CÁSSIA PEREIRA (DISCENTE - Colaborador);PENDENTE;20/12/2018;07/01/2019 a 15/01/2021;
PI03488-2019;FACULDADE DE EDUCACAO;A EXPERIENCIA DO CURSINHO POPULAR COMUNIDADE FAZARTE-UFG NA FORMACAO DE PROFESSORES;Ciências Humanas - Psicologia - Psicologia do Desenvolvimento Humano - Desenvolvimento Social e da Personalidade, Ciências Humanas - Educação - Fundamentos da Educação - Psicologia Educacional;Tipo de vínculo desconhecido;não;sim;ALESSANDRA OLIVEIRA MACHADO VIEIRA (DOCENTE - Coordenador), GEISA NUNES DE SOUZA MOZZER (DOCENTE - Vice-coodernador), RAFAEL AZEVEDO BRAZ (DISCENTE - Colaborador), SAMUEL DE OLIVEIRA LOURES (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);05/04/2019;28/02/2019 a 30/12/2022;
PI03347-2019;FACULDADE DE MEDICINA;PERFIL PSICOLÓGICO DOS ESTUDANTES DE MEDICINA DA  UNIVERSIDADE FEDERAL DE GOIÁS;Ciências da Saúde - Medicina;Tipo de vínculo desconhecido;não;sim;ALESSANDRA VITORINO NAGHETTINI (DOCENTE - Coordenador), ANDERSON JÚNIOR BORGES DE REZENDE (DISCENTE - Colaborador), JOÃO MARCOS RIBEIRO PAIVA XAVIER (DISCENTE - Colaborador), LARISSA ARBUES CARNEIRO (DOCENTE - Colaborador), LUCIANA MARTINS ROSA (DISCENTE - Colaborador), MARIA AMELIA DIAS PEREIRA (DOCENTE - Vice-coodernador), MARIANA SIQUEIRA CAMPOS DE DEUS (DISCENTE - Colaborador), MATHEUS HENRIQUE DE JESUS LIMA (DISCENTE - Colaborador), VÂNIA MEIRA E SIQUEIRA CAMPOS (EXTERNO - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);24/03/2019;15/03/2019 a 15/03/2021;
;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;Do laboratório para o mercado de trabalho: competências e habilidades esperadas para conexão entre universidade e empresas na era digital.;Ciências Sociais Aplicadas - Administração;Tipo de vínculo desconhecido;não;não;ALETHEIA FERREIRA DA CRUZ (DOCENTE - Coordenador);GRAVADO;22/05/2019;01/05/2019 a 30/04/2024;
PI03432-2019;FACULDADE DE EDUCAÇÃO FISICA E DANÇA;Corpo artista-docente: interlocuções entre práticas pedagógicas e artísticas;Lingüística, Letras e Artes - Artes - Dança, Lingüística, Letras e Artes - Artes - Teatro;Tipo de vínculo desconhecido;não;não;ALEXANDRE DONIZETE FERREIRA (DOCENTE - Coordenador), DIEGO AMARAL DAMACENA (SERVIDOR - Colaborador), HEBONNY MHARIANI VARGAS MESQUITA CORREA DO BONFIM (DISCENTE - Colaborador), LETÍCIA DA COSTA PEREIRA (DISCENTE - Colaborador), LUIE ARAUJO WANDERLEY (DISCENTE - Colaborador), MATHEUS BONFOCHI KLIMAVICIUS (DISCENTE - Colaborador), SHAYANA KELLY DA SILVA SANTOS (DISCENTE - Colaborador), SUSAN MARIA DA GRACA CASTRO DOS SANTOS (DISCENTE - Colaborador), TASSIANA INÊS STACCIARINI DE RESENDE (EXTERNO - Colaborador), VALERIA MARIA CHAVES DE FIGUEIREDO (DOCENTE - Vice-coodernador), YURI ANTHONY DAMAS MATIAS (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);26/03/2019;01/04/2019 a 30/06/2021;
PI03466-2019;FACULDADE DE ODONTOLOGIA;AVALIAÇÃO DOS NÍVEIS SÉRICOS DE VITAMINA D3 [1,25 (OH)2] EM PACIENTES COM LÍQUEN PLANO ORAL E SUA ASSOCIAÇÃO COM A SEVERIDADE DESTA DOENÇA;Ciências da Saúde - Odontologia - Clínica Odontológica;Tipo de vínculo desconhecido;não;sim;ALINE CARVALHO BATISTA (DOCENTE - Coordenador), DIEGO ANTONIO COSTA ARANTES (SERVIDOR - Colaborador), ELISMAURO FRANCISCO DE MENDONCA (DOCENTE - Colaborador), MANOELA DOMINGUES MARTINS (EXTERNO - Colaborador), NADIA DO LAGO COSTA (DOCENTE - Colaborador), RICARDO ALVES DE MESQUITA (EXTERNO - Colaborador), SARA LIA GONÇALVES (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/03/2019;29/03/2019 a 31/07/2023;
PI03343-2019;ESCOLA DE VETERINARIA E ZOOTECNIA;DESENVOLVIMENTO DE IMUNOBIOLÓGICOS (IgY) PARA O MONITORAMENTO DA CIRCULAÇÃO DE Rickettsia rickettssi ;Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva - Doenças Infecciosas de Animais;Tipo de vínculo desconhecido;não;não;ALVARO FERREIRA JUNIOR (DOCENTE - Coordenador), FELIPE DA SILVA KRAWCZAK (DOCENTE - Colaborador), GUILHERME PEREIRA SILVA TELES (DISCENTE - Colaborador), HELEONILSON LUIZ LUZINI (SERVIDOR - Colaborador), MONICA CHACON DE VICENTE (DISCENTE - Colaborador), NATHALIA BRAZ RIBEIRO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);15/03/2019;01/06/2019 a 01/06/2021;
PI03547-2019;FACULDADE DE ENFERMAGEM;Influência de múltiplos processamentos no processo de corrosão e na formação de biofilme em instrumentos cirúrgicos com diferentes modos gravação do código Datamatrix®;Ciências da Saúde - Enfermagem - Enfermagem Médico-Cirúrgica;Tipo de vínculo desconhecido;não;não;ANACLARA FERREIRA VEIGA TIPPLE (DOCENTE - Coordenador), DEBORA MOURA MIRANDA GOULART (DISCENTE - Colaborador), KAREN VICKERY (EXTERNO - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);05/04/2019;01/06/2019 a 31/03/2023;
